Altium Designer Pick and Place Locations
C:\Pressure_Sensor_Board_v3.2\Project_Outputs\DevTools\ProjectPCBAssyNumber-RProjectPCBAssyRevision_PNP\ProjectPCBAssyNumber-RProjectPCBAssyRevision_PNP.txt

========================================================================================================================
File Design Information:

Date:       16/06/26
Time:       16:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator   Comment                                Layer       Footprint                                 Center-X(mm) Center-Y(mm) Rotation Description                                 
J_option     ""                                     TopLayer    HDR_M_2.54_1x3                            155.8000     93.7000      0        ""                                          
J_terminal   ""                                     TopLayer    CON_TERMINAL_3.81_1x2_TH_RA_PHO_1727010   164.7392     52.4994      90       ""                                          
J_Loop       "Header 1x2"                           TopLayer    HDR_M_2.54_1x2                            166.8000     67.2000      90       ""                                          
D_protect    "Diode Single"                         TopLayer    DO-41                                     136.6000     75.1387      90       ""                                          
"GND OpAmp"  "Test Point"                           TopLayer    CON_TP_TH_V_BLK_KEC_5011                  19.4000      49.8000      0        "Test Point"                                
VREF         ""                                     TopLayer    CON_TP_TH_V_RED_KEC_5010                  147.5000     29.4000      0        "Test Point"                                
VDAC         ""                                     TopLayer    CON_TP_TH_V_RED_KEC_5010                  141.9000     29.4000      0        "Test Point"                                
FB           "Ferrite Bead"                         TopLayer    IND_C_0603                                163.9000     78.8000      270      ""                                          
D_TVS        "Diode TVS Unidirectional"             TopLayer    DO-214AA_SMB                              165.6000     90.0000      270      ""                                          
C_Power_24V  "Capacitor NP"                         TopLayer    CAP_C_0805                                166.9000     79.0000      270      ""                                          
C_pi2        "Capacitor NP"                         TopLayer    CAP_C_0603                                159.5000     78.1000      0        ""                                          
C_pi1        "Capacitor NP"                         TopLayer    CAP_C_0603                                159.5000     81.1000      0        ""                                          
"24V Jack"   "CON JACK 2C 3P SPST"                  TopLayer    CON_JACK_POWER_TH_RA_WE_694106301002      140.3000     93.5000      270      ""                                          
J_Breakout1  "Header 1x14"                          TopLayer    HDR_F_2_1x14_TH_V                         39.0000      52.5000      270      ""                                          
J_Breakout2  "Header 1x14"                          TopLayer    HDR_F_2_1x14_TH_V                         62.5000      52.5000      270      ""                                          
PAD4         "Rubber Pad Hemisphere"                BottomLayer BUMP_3M_SJ5000_CYLINDRICAL_BLACK_D11.18H5 -332.1800    -423.5800    180      ""                                          
PAD3         "Rubber Pad Hemisphere"                BottomLayer BUMP_3M_SJ5000_CYLINDRICAL_BLACK_D11.18H5 -332.1800    -423.5800    180      ""                                          
PAD2         "Rubber Pad Hemisphere"                BottomLayer BUMP_3M_SJ5000_CYLINDRICAL_BLACK_D11.18H5 -332.1800    -423.5800    180      ""                                          
PAD1         "Rubber Pad Hemisphere"                BottomLayer BUMP_3M_SJ5000_CYLINDRICAL_BLACK_D11.18H5 -332.1800    -423.5800    180      ""                                          
J_display    "Header 1x9"                           TopLayer    HDR_F_2.54_1x9_TH_V_PPPC091LFBN-RC        100.2553     35.5410      0        ""                                          
R_joystick4  Resistor                               TopLayer    RES_C_0805                                55.9500      20.7952      270      Resistor                                    
R_joystick3  Resistor                               TopLayer    RES_C_0805                                53.3750      20.7952      270      Resistor                                    
R_push       Resistor                               TopLayer    RES_C_0805                                45.6000      20.8000      270      Resistor                                    
R_joystick1  Resistor                               TopLayer    RES_C_0805                                48.2000      20.8000      270      Resistor                                    
R_joystick2  Resistor                               TopLayer    RES_C_0805                                50.8000      20.7952      90       Resistor                                    
JOYSTICK     SW_TACT_SMD_ALPS_SKRHABE010            TopLayer    SW_TACT_SMD_ALPS_SKRHABE010               151.3565     9.5565       315      ""                                          
U_OPAMP      "MCP6XX4_9 SOIC-14_TSSOP-14_PDIP-14"   TopLayer    TSSOP-14                                  16.7625      77.8375      270      OPAMP                                       
C31          ""                                     TopLayer    CAP_C_0603                                152.8501     61.2658      90       ""                                          
U5           ""                                     TopLayer    SOT-23-5                                  156.4223     61.2321      90       OPAMP                                       
U4           ""                                     TopLayer    MSOP-8                                    146.0163     61.2321      0        ""                                          
U3           ""                                     TopLayer    MSOP-10                                   146.0163     46.6494      180      ""                                          
U2           ""                                     TopLayer    SOT-23-6                                  150.5392     38.2518      270      "High-Precision Buffered Voltage Reference" 
U1           ""                                     TopLayer    SOT-23A-3                                 159.4108     45.0994      270      LDO                                         
GND          "Test Point"                           TopLayer    CON_TP_TH_V_BLK_KEC_5011                  158.7000     29.4000      0        "Test Point"                                
R35          ""                                     TopLayer    RES_C_0603                                156.7973     54.9994      270      Resistor                                    
R34          ""                                     TopLayer    RES_C_1206                                153.2999     68.7001      90       Resistor                                    
R33          ""                                     TopLayer    RES_C_0603                                154.4223     54.9994      270      Resistor                                    
R32          ""                                     TopLayer    RES_C_0603                                160.1000     68.2000      0        Resistor                                    
R31          ""                                     TopLayer    RES_C_0603                                160.2108     64.2594      180      Resistor                                    
R21          ""                                     TopLayer    RES_C_0603                                151.7648     54.9994      90       Resistor                                    
R12          ""                                     TopLayer    RES_C_0603                                149.7099     54.9994      90       Resistor                                    
R11          ""                                     TopLayer    RES_C_0603                                143.3407     49.6002      0        Resistor                                    
R1           ""                                     TopLayer    RES_C_0603                                145.7610     39.2018      0        Resistor                                    
Q1           ""                                     TopLayer    SOT-23-3                                  155.8473     51.0050      180      "Transistor MOS"                            
C21          ""                                     TopLayer    CAP_C_0603                                149.0599     64.0594      0        ""                                          
C11          ""                                     TopLayer    CAP_C_0603                                149.9099     43.0634      270      ""                                          
C5           ""                                     TopLayer    CAP_C_0603                                141.8392     39.2018      0        ""                                          
C4           ""                                     TopLayer    CAP_C_0603                                155.2223     39.2018      0        ""                                          
C3           ""                                     TopLayer    CAP_C_0603                                160.4392     40.3994      90       ""                                          
C2           ""                                     TopLayer    CAP_C_0603                                158.5223     40.3994      90       ""                                          
C1           ""                                     TopLayer    CAP_C_1210                                164.7857     44.7809      90       ""                                          
"VDD loop"   ""                                     TopLayer    CON_TP_TH_V_RED_KEC_5010                  153.1000     29.4000      0        "Test Point"                                
J_Sensor     "Header 1x4"                           TopLayer    CON_TERMINAL_5.08_1x4_TH_L8.50W20.5H10.20 18.6200      97.0000      180      ""                                          
U_MCU        "PIC18F2XK42 SPDIP-28_SOIC-28_SSOP-28" TopLayer    SSOP-28_P0.65                             50.8000      52.6000      0        ""                                          
"VDD MCU"    "Test Point"                           TopLayer    CON_TP_TH_V_RED_KEC_5010                  12.5000      49.8000      0        "Test Point"                                
SENS+        "Test Point"                           TopLayer    CON_TP_TH_V_RED_KEC_5010                  35.4000      100.3000     0        "Test Point"                                
"DAC Offset" "Test Point"                           TopLayer    CON_TP_TH_V_RED_KEC_5010                  9.0000       56.9000      0        "Test Point"                                
"LP Out"     "Test Point"                           TopLayer    CON_TP_TH_V_RED_KEC_5010                  22.7000      56.9000      0        "Test Point"                                
"Opamp Out"  "Test Point"                           TopLayer    CON_TP_TH_V_RED_KEC_5010                  15.8500      56.9000      0        "Test Point"                                
SENS-        "Test Point"                           TopLayer    CON_TP_TH_V_BLK_KEC_5011                  35.4000      95.1000      0        "Test Point"                                
SW_MCLR      "Switch 4 Pin"                         TopLayer    SW_SMD_6mmX6mm_TL3301                     52.0000      78.1001      90       Switch                                      
R_OP3        Resistor                               TopLayer    RES_C_0805                                8.7625       79.8375      270      Resistor                                    
R_OP7        Resistor                               TopLayer    RES_C_0805                                11.7503      69.2317      0        Resistor                                    
R_OP1        Resistor                               TopLayer    RES_C_0805                                11.7625      79.8375      270      Resistor                                    
R_OP5        Resistor                               TopLayer    RES_C_0805                                11.7625      75.8375      270      Resistor                                    
R_OP8        Resistor                               TopLayer    RES_C_0805                                20.2000      62.3000      0        Resistor                                    
R_OP4        Resistor                               TopLayer    RES_C_0805                                21.7625      75.8375      90       Resistor                                    
R_OP2        Resistor                               TopLayer    RES_C_0805                                24.7625      77.8375      270      Resistor                                    
R_OP6        Resistor                               TopLayer    RES_C_0805                                20.2000      67.3000      180      Resistor                                    
R_MCLR       Resistor                               TopLayer    RES_C_0805                                45.8000      68.8000      180      Resistor                                    
J_ICSP       "Header 1x6"                           TopLayer    HDR_M_2.54_1x6                            76.7000      101.8000     180      ""                                          
C_OP5        "Capacitor NP"                         TopLayer    CAP_C_0603                                11.7625      71.8375      0        ""                                          
C_OP3        "Capacitor NP"                         TopLayer    CAP_C_0805                                5.7625       79.8375      270      ""                                          
C_LP         "Capacitor NP"                         TopLayer    CAP_C_0805                                24.4000      61.5000      90       ""                                          
C_OP2        "Capacitor NP"                         TopLayer    CAP_C_0805                                21.7625      79.8375      270      ""                                          
C_OP4        "Capacitor NP"                         TopLayer    CAP_C_0603                                20.1000      65.1000      180      ""                                          
C_MCU        "Capacitor NP"                         TopLayer    CAP_C_0805                                68.4000      48.5000      270      ""                                          
C_OP1        "Capacitor NP"                         TopLayer    CAP_C_0805                                25.3000      89.6000      180      ""                                          
